9591	309
17453	309
309	10677
309	17015
309	20560
9591	2186
9591	6012
17453	6012
6012	11030
6012	23946
6012	25611
9591	10677
309	10677
17015	10677
9591	11030
17453	11030
6012	11030
11030	23946
11030	25611
9591	13704
9591	17015
309	17015
17015	10677
17015	20560
17015	21314
9591	23946
17453	23946
6012	23946
11030	23946
23946	25611
9591	25611
17453	25611
6012	25611
11030	25611
23946	25611
1050	17120
1050	17120
9595	6744
9595	6744
20765	1125
20765	8055
8055	18880
20765	8526
6737	8526
8526	23476
20765	9486
20765	11537
11537	6666
11537	17986
11537	21190
20765	12453
22523	12453
543	12453
23614	12453
3501	12453
10004	12453
17681	12453
24713	12453
6442	12453
12453	2620
12453	3452
12453	3594
12453	10024
12453	20587
12453	23713
20765	18880
8055	18880
20765	18909
20765	19962
5767	19962
20765	23476
6737	23476
8526	23476
19078	7625
19078	20427
19078	21089
19078	20427
5107	20427
5116	20427
14067	20427
21089	8520
2200	8520
21089	16177
16177	21100
16177	22746
21089	21100
10895	21100
14067	21100
16177	21100
21100	21772
21100	22746
21089	21156
21075	21156
3873	21156
15321	9125
9125	15943
15321	15943
9125	15943
8678	15626
1154	12017
1154	12930
1154	12017
12017	12930
1154	12930
12017	12930
12930	8704
12930	17591
12930	8704
8704	17591
12930	17591
8704	17591
12161	19162
12161	19162
23637	1093
10251	1093
1093	3059
23637	3059
10251	3059
1093	3059
23637	9649
10251	9649
9649	17294
9649	17626
23637	10251
10251	1093
10251	3059
10251	9649
10251	17626
23637	25903
11293	4143
21466	4143
25718	4143
17127	4143
4143	5216
11293	6808
22108	6808
6808	7802
6808	23555
11293	7802
22108	7802
6808	7802
7802	23555
11293	17127
25718	17127
17127	4143
11293	20554
11293	21777
21777	22108
11293	22108
21777	22108
22108	6808
22108	7802
22108	23555
11293	23555
22108	23555
6808	23555
7802	23555
11293	25718
25718	4143
25718	17127
11400	4247
11372	4247
4247	4250
11400	4250
11372	4250
4247	4250
11400	8726
8726	15196
11400	9491
11379	9491
17764	9491
17124	9491
11400	11379
11372	11379
11379	9325
11379	9491
11379	17124
11379	17764
11379	21409
11379	25719
11400	11405
11328	11405
11400	15196
8726	15196
11400	15938
25660	15938
11318	15938
11400	17126
11318	17126
11400	17764
11379	17764
22018	17764
9325	17764
17764	9491
17764	17124
17764	21409
12587	232
12587	1075
12587	8737
4195	8737
12587	13481
12587	13862
24402	13862
4195	13862
12587	16742
12587	24402
4380	24402
16756	24402
24402	4195
24402	13862
3113	128
8198	128
128	6920
128	16877
3113	4353
2169	4353
8340	4353
4353	6558
4353	14865
4353	15941
3113	6558
4353	6558
15941	6558
6558	14865
3113	6920
128	6920
6920	16877
3113	14865
4353	14865
15941	14865
6558	14865
3113	15941
16598	15941
4353	15941
15941	6558
15941	14865
3113	16877
128	16877
6920	16877
25286	10000
25286	17337
13369	17337
25286	21634
25034	851
4825	851
851	122
851	9593
851	15250
851	15589
25034	2713
19568	2713
13199	2713
25034	13199
12545	13199
4466	13199
19568	13199
13199	2713
25034	16837
25034	18032
25034	19568
20373	19568
19568	2713
19568	13199
25034	20004
1674	20004
25516	20004
20373	1341
6218	1341
7355	1341
14357	1341
20373	1408
9184	1408
18736	1408
20373	4273
6264	4273
4273	5259
4273	7355
20373	5259
6264	5259
26127	5259
4273	5259
7355	5259
20373	7355
6264	7355
26127	7355
4422	7355
4273	7355
7355	1341
7355	5259
7355	14357
20373	9143
14599	9143
10381	9143
9184	9143
18736	9143
9143	14647
9143	19945
20373	14357
4422	14357
7355	14357
14357	1341
20373	16332
10381	16332
9184	16332
20373	19940
9184	19940
12927	853
17231	853
853	19810
853	22493
12927	8441
12927	16070
12927	16087
12927	17231
17231	853
12927	19434
12927	23944
12927	24499
22790	10062
16270	10062
12406	10062
10062	3878
10062	16102
10062	16584
10062	22463
22790	23681
